time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20181231:2349,0.0,0.0,0.0,0.0,10.84,2.41,0.0
20190101:0049,0.0,0.0,0.0,0.0,10.23,1.86,0.0
20190101:0149,0.0,0.0,0.0,0.0,10.43,1.38,0.0
20190101:0249,0.0,0.0,0.0,-1.7,9.94,1.45,0.0
20190101:0349,296.65,157.66,2.17,9.88,10.46,1.38,0.0
20190101:0449,536.96,175.27,4.48,20.4,13.8,2.07,0.0
20190101:0549,713.78,171.93,6.35,29.3,15.57,3.24,0.0
20190101:0649,787.6,173.92,7.48,35.75,16.98,3.59,0.0
20190101:0749,796.12,164.55,7.86,38.82,18.12,3.86,0.0
20190101:0849,708.67,158.55,7.36,37.9,18.88,3.79,0.0
20190101:0949,555.37,146.0,6.1,33.18,19.41,3.66,0.0
20190101:1049,353.73,123.04,4.22,25.5,19.49,3.38,0.0
20190101:1149,145.54,76.86,1.99,15.77,19.22,2.97,0.0
20190101:1249,0.0,0.0,0.0,0.0,18.41,2.34,0.0
20190101:1349,0.0,0.0,0.0,0.0,17.24,1.31,0.0
20190101:1449,0.0,0.0,0.0,0.0,16.31,0.83,0.0
20190101:1549,0.0,0.0,0.0,0.0,15.27,0.83,0.0
20190101:1649,0.0,0.0,0.0,0.0,14.03,1.03,0.0
20190101:1749,0.0,0.0,0.0,0.0,13.08,1.1,0.0
20190101:1849,0.0,0.0,0.0,0.0,13.14,0.97,0.0
20190101:1949,0.0,0.0,0.0,0.0,12.54,1.03,0.0
20190101:2049,0.0,0.0,0.0,0.0,12.28,0.97,0.0
20190101:2149,0.0,0.0,0.0,0.0,12.44,0.97,0.0
20190101:2249,0.0,0.0,0.0,0.0,11.29,1.38,0.0
20190101:2349,0.0,0.0,0.0,0.0,9.87,1.86,0.0
20190102:0049,0.0,0.0,0.0,0.0,9.21,1.93,0.0
20190102:0149,0.0,0.0,0.0,0.0,8.98,2.0,0.0
20190102:0249,0.0,0.0,0.0,-1.75,8.96,2.07,0.0
20190102:0349,344.46,154.31,2.27,9.84,9.5,2.07,0.0
20190102:0449,546.6,170.2,4.49,20.39,13.84,2.9,0.0
20190102:0549,226.05,288.1,4.6,29.31,16.19,4.34,0.0
20190102:0649,765.57,181.89,7.4,35.8,17.75,4.69,0.0
20190102:0749,682.43,216.22,7.49,38.9,18.9,5.24,0.0
20190102:0849,727.55,151.76,7.45,38.0,19.6,5.52,0.0
20190102:0949,367.95,222.1,5.42,33.3,19.77,5.66,0.0
20190102:1049,207.45,173.69,3.64,25.63,19.5,5.38,0.0
20190102:1149,5.74,72.97,0.94,15.9,18.95,4.97,0.0
20190102:1249,0.0,0.0,0.0,0.0,18.03,4.0,0.0
20190102:1349,0.0,0.0,0.0,0.0,17.04,2.97,0.0
20190102:1449,0.0,0.0,0.0,0.0,16.36,2.62,0.0
20190102:1549,0.0,0.0,0.0,0.0,15.89,2.55,0.0
20190102:1649,0.0,0.0,0.0,0.0,15.52,2.69,0.0
20190102:1749,0.0,0.0,0.0,0.0,15.26,2.83,0.0
20190102:1849,0.0,0.0,0.0,0.0,14.88,3.03,0.0
20190102:1949,0.0,0.0,0.0,0.0,14.42,2.97,0.0
20190102:2049,0.0,0.0,0.0,0.0,13.94,2.9,0.0
20190102:2149,0.0,0.0,0.0,0.0,13.61,2.9,0.0
20190102:2249,0.0,0.0,0.0,0.0,13.21,2.9,0.0
20190102:2349,0.0,0.0,0.0,0.0,12.81,2.83,0.0
20190103:0049,0.0,0.0,0.0,0.0,12.48,2.83,0.0
20190103:0149,0.0,0.0,0.0,0.0,12.07,2.83,0.0
20190103:0249,0.0,0.0,0.0,-1.79,11.83,2.9,0.0
20190103:0349,11.88,84.99,1.06,9.82,12.58,2.83,0.0
20190103:0449,143.96,216.32,3.12,20.38,15.88,3.45,0.0
20190103:0549,8.37,198.98,2.5,29.33,17.74,4.48,0.0
20190103:0649,105.56,311.71,4.43,35.85,19.13,4.9,0.0
20190103:0749,166.46,334.58,5.15,38.98,20.03,5.24,0.0
20190103:0849,194.27,314.2,5.16,38.12,20.64,5.72,0.0
20190103:0949,15.08,209.73,2.7,33.43,21.01,6.0,0.0
20190103:1049,20.57,162.26,2.15,25.76,20.96,5.86,0.0
20190103:1149,21.46,87.75,1.23,16.04,20.29,5.38,0.0
20190103:1249,0.0,0.0,0.0,0.0,19.37,4.0,0.0
20190103:1349,0.0,0.0,0.0,0.0,18.32,3.24,0.0
20190103:1449,0.0,0.0,0.0,0.0,17.7,3.03,0.0
20190103:1549,0.0,0.0,0.0,0.0,17.24,3.03,0.0
20190103:1649,0.0,0.0,0.0,0.0,16.86,3.38,0.0
20190103:1749,0.0,0.0,0.0,0.0,16.63,3.79,0.0
20190103:1849,0.0,0.0,0.0,0.0,16.0,3.86,0.0
20190103:1949,0.0,0.0,0.0,0.0,15.43,4.0,0.0
20190103:2049,0.0,0.0,0.0,0.0,15.0,4.14,0.0
20190103:2149,0.0,0.0,0.0,0.0,14.68,4.21,0.0
20190103:2249,0.0,0.0,0.0,0.0,14.36,3.93,0.0
20190103:2349,0.0,0.0,0.0,0.0,13.93,3.59,0.0
20190104:0049,0.0,0.0,0.0,0.0,13.52,3.31,0.0
20190104:0149,0.0,0.0,0.0,0.0,13.03,3.1,0.0
20190104:0249,0.0,0.0,0.0,-1.83,12.53,2.97,0.0
20190104:0349,0.0,60.25,0.74,9.8,13.01,2.97,0.0
20190104:0449,0.0,99.8,1.23,20.38,14.78,3.59,0.0
20190104:0549,351.03,279.9,5.17,29.36,16.33,4.55,0.0
20190104:0649,563.95,263.98,6.77,35.91,18.3,5.24,0.0
20190104:0749,574.05,261.03,7.14,39.08,19.57,5.45,0.0
20190104:0849,389.46,285.66,6.22,38.24,20.23,5.03,0.0
20190104:0949,268.32,251.05,5.0,33.57,20.37,4.76,0.0
20190104:1049,209.35,174.6,3.67,25.91,20.23,4.76,0.0
20190104:1149,99.79,91.98,1.84,16.18,19.65,4.76,0.0
20190104:1249,0.0,0.0,0.0,0.0,18.58,4.48,0.0
20190104:1349,0.0,0.0,0.0,0.0,17.52,4.14,0.0
20190104:1449,0.0,0.0,0.0,0.0,16.49,4.14,0.0
20190104:1549,0.0,0.0,0.0,0.0,15.62,4.14,0.0
20190104:1649,0.0,0.0,0.0,0.0,14.75,4.21,0.0
20190104:1749,0.0,0.0,0.0,0.0,13.98,4.21,0.0
20190104:1849,0.0,0.0,0.0,0.0,13.05,4.21,0.0
20190104:1949,0.0,0.0,0.0,0.0,12.26,3.93,0.0
20190104:2049,0.0,0.0,0.0,0.0,11.59,3.79,0.0
20190104:2149,0.0,0.0,0.0,0.0,10.96,3.72,0.0
20190104:2249,0.0,0.0,0.0,0.0,10.35,3.59,0.0
20190104:2349,0.0,0.0,0.0,0.0,9.78,3.59,0.0
20190105:0049,0.0,0.0,0.0,0.0,9.22,3.59,0.0
20190105:0149,0.0,0.0,0.0,0.0,8.56,3.38,0.0
20190105:0249,0.0,0.0,0.0,-1.86,8.0,3.31,0.0
20190105:0349,395.11,155.81,2.41,9.78,8.99,3.1,0.0
20190105:0449,604.32,163.73,4.74,20.38,12.08,3.93,0.0
20190105:0549,761.41,166.28,6.63,29.39,14.17,5.03,0.0
20190105:0649,828.96,170.32,7.77,35.97,15.81,6.07,0.0
20190105:0749,839.13,162.08,8.2,39.17,16.96,6.07,0.0
20190105:0849,738.86,161.79,7.66,38.36,17.79,5.79,0.0
20190105:0949,585.0,149.17,6.41,33.71,18.25,5.52,0.0
20190105:1049,378.18,126.06,4.48,26.05,18.27,5.31,0.0
20190105:1149,142.0,86.89,2.09,16.33,17.72,5.31,0.0
20190105:1249,0.0,0.0,0.0,0.0,16.43,4.48,0.0
20190105:1349,0.0,0.0,0.0,0.0,14.82,3.66,0.0
20190105:1449,0.0,0.0,0.0,0.0,13.5,2.76,0.0
20190105:1549,0.0,0.0,0.0,0.0,12.2,2.28,0.0
20190105:1649,0.0,0.0,0.0,0.0,10.75,2.07,0.0
20190105:1749,0.0,0.0,0.0,0.0,9.3,2.07,0.0
20190105:1849,0.0,0.0,0.0,0.0,8.35,2.07,0.0
20190105:1949,0.0,0.0,0.0,0.0,7.46,2.14,0.0
20190105:2049,0.0,0.0,0.0,0.0,6.93,2.07,0.0
20190105:2149,0.0,0.0,0.0,0.0,6.79,1.93,0.0
20190105:2249,0.0,0.0,0.0,0.0,6.98,1.79,0.0
20190105:2349,0.0,0.0,0.0,0.0,8.66,1.72,0.0
20190106:0049,0.0,0.0,0.0,0.0,9.36,2.0,0.0
20190106:0149,0.0,0.0,0.0,0.0,8.92,2.21,0.0
20190106:0249,0.0,0.0,0.0,-1.89,8.86,2.21,0.0
20190106:0349,287.95,159.89,2.16,9.77,9.69,2.14,0.0
20190106:0449,475.78,197.27,4.36,20.39,12.43,2.41,0.0
20190106:0549,752.14,164.04,6.56,29.43,16.72,3.86,0.0
20190106:0649,798.99,176.58,7.62,36.04,18.09,4.69,0.0
20190106:0749,689.5,223.43,7.64,39.28,18.99,5.79,0.0
