time,direct_irradiance,sky_diffused,ground_diffused,H_sun,T2m,WS10m,Int,grid_price,diffuse_iradiance
2018-12-31 23:49:00,0.0,0.0,0.0,0.0,10.84,2.41,0.0,73.1124066364972,0.0
2019-01-01 00:49:00,0.0,0.0,0.0,0.0,10.23,1.86,0.0,44.552162820654615,0.0
2019-01-01 01:49:00,0.0,0.0,0.0,0.0,10.43,1.38,0.0,26.148748087336116,0.0
2019-01-01 02:49:00,0.0,0.0,0.0,-1.7,9.94,1.45,0.0,64.40942605662768,0.0
2019-01-01 03:49:00,296.65,157.66,2.17,9.88,10.46,1.38,0.0,90.21540693551857,159.82999999999998
2019-01-01 04:49:00,536.96,175.27,4.48,20.4,13.8,2.07,0.0,65.36384113974893,179.75
2019-01-01 05:49:00,713.78,171.93,6.35,29.3,15.57,3.24,0.0,50.78767242037856,178.28
2019-01-01 06:49:00,787.6,173.92,7.48,35.75,16.98,3.59,0.0,59.422816447247264,181.39999999999998
2019-01-01 07:49:00,796.12,164.55,7.86,38.82,18.12,3.86,0.0,70.2024954434788,172.41000000000003
2019-01-01 08:49:00,708.67,158.55,7.36,37.9,18.88,3.79,0.0,36.75920835292119,165.91000000000003
2019-01-01 09:49:00,555.37,146.0,6.1,33.18,19.41,3.66,0.0,70.82900003625286,152.1
2019-01-01 10:49:00,353.73,123.04,4.22,25.5,19.49,3.38,0.0,48.45525050311229,127.26
2019-01-01 11:49:00,145.54,76.86,1.99,15.77,19.22,2.97,0.0,11.861774332651386,78.85
2019-01-01 12:49:00,0.0,0.0,0.0,0.0,18.41,2.34,0.0,9.426213105130476,0.0
2019-01-01 13:49:00,0.0,0.0,0.0,0.0,17.24,1.31,0.0,36.38663611853629,0.0
2019-01-01 14:49:00,0.0,0.0,0.0,0.0,16.31,0.83,0.0,84.71691917257755,0.0
2019-01-01 15:49:00,0.0,0.0,0.0,0.0,15.27,0.83,0.0,10.866804161171228,0.0
2019-01-01 16:49:00,0.0,0.0,0.0,0.0,14.03,1.03,0.0,96.096616629602,0.0
2019-01-01 17:49:00,0.0,0.0,0.0,0.0,13.08,1.1,0.0,72.85913787636802,0.0
2019-01-01 18:49:00,0.0,0.0,0.0,0.0,13.14,0.97,0.0,30.31299072724091,0.0
2019-01-01 19:49:00,0.0,0.0,0.0,0.0,12.54,1.03,0.0,14.819255100205876,0.0
2019-01-01 20:49:00,0.0,0.0,0.0,0.0,12.28,0.97,0.0,27.563627049062646,0.0
2019-01-01 21:49:00,0.0,0.0,0.0,0.0,12.44,0.97,0.0,70.25572713088708,0.0
